UniqueCount	AmbigCount
0	26
1	20
0	25
0	23
0	23
0	27
0	25
0	25
0	27
0	26
0	28
0	28
0	25
0	23
0	27
0	25
0	27
0	25
0	26
0	24
0	26
0	28
0	26
0	28
0	26
0	26
0	26
0	17
0	22
0	21
0	22
0	21
0	18
0	18
0	20
0	20
0	21
0	23
0	23
0	20
0	18
0	20
0	22
0	20
0	21
0	19
0	21
0	23
0	21
0	23
0	21
0	21
0	12
0	17
0	17
1	28
2	28
32	0
0	29
0	29
0	28
0	28
0	26
0	26
0	26
0	26
0	25
0	25
0	13
0	28
0	25
0	28
0	28
0	21
0	21
0	26
0	25
0	28
0	27
0	27
0	28
0	25
0	25
0	26
0	25
0	12
0	27
0	27
0	30
0	30
1	30
0	27
0	27
0	27
0	27
0	27
0	27
0	27
0	27
0	27
0	27
0	27
0	27
0	27
0	31
0	31
0	31
0	31
0	31
0	32
0	32
0	32
0	31
0	31
0	31
0	31
0	31
0	24
0	25
0	24
0	24
0	24
0	24
0	24
0	32
0	32
0	32
0	32
0	32
0	32
0	32
0	32
0	31
0	31
0	3
0	30
0	30
0	30
0	30
0	30
0	30
0	28
0	3
0	27
1	30
1	28
0	30
0	54
0	56
0	56
0	54
0	55
0	55
0	54
0	58
0	58
0	58
0	58
0	58
0	58
0	58
0	58
0	58
0	58
0	54
0	54
0	50
0	54
0	54
0	50
0	43
0	43
0	43
0	14
0	14
0	43
0	43
0	45
0	45
0	43
0	43
0	45
0	46
0	46
0	45
0	48
0	45
0	47
0	46
0	47
0	15
0	14
0	48
0	46
0	46
0	46
0	48
0	42
0	46
0	46
0	48
0	46
0	46
0	46
0	46
0	46
0	46
0	46
0	48
0	46
0	48
0	46
0	46
0	48
0	48
0	22
0	13
0	13
0	13
0	15
0	15
0	13
0	13
0	13
0	15
0	13
0	5
0	0
0	7
0	7
0	5
0	7
0	7
0	7
0	7
0	7
0	5
0	7
0	7
0	2
0	2
0	47
0	7
0	47
0	7
0	2
0	2
0	2
0	2
0	2
0	7
0	2
0	2
0	44
0	5
0	44
0	5
0	2
0	2
0	2
0	2
0	48
0	49
0	48
0	48
0	48
0	37
0	49
0	20
0	14
0	14
0	14
0	39
0	48
0	49
0	48
0	48
0	37
0	20
0	14
0	14
0	14
0	48
0	39
15	73
7	47
0	61
0	55
0	57
0	55
0	36
0	61
0	57
0	56
0	53
0	52
0	59
0	54
0	59
0	55
0	54
0	55
0	51
0	50
0	53
0	61
0	55
0	54
0	38
0	36
0	38
0	36
0	36
0	32
0	38
0	36
0	32
0	36
0	59
0	36
0	52
0	28
0	52
0	49
0	48
0	45
0	44
0	50
0	46
0	46
0	42
0	30
0	28
0	30
0	28
0	28
0	24
0	30
0	28
0	24
0	50
0	41
0	55
0	55
0	55
0	55
0	55
0	49
0	55
0	55
0	55
0	55
0	55
0	55
0	56
0	56
0	55
0	53
0	54
0	52
0	53
0	51
0	52
0	50
0	53
0	51
0	50
0	48
0	55
0	55
0	52
0	49
0	55
0	51
0	55
0	41
0	41
0	39
0	37
0	52
0	54
0	54
0	42
0	42
0	38
0	55
0	55
0	55
0	55
0	55
0	49
0	55
0	55
0	55
0	55
0	55
0	55
0	56
0	56
0	53
0	54
0	52
0	53
0	51
0	52
0	50
0	53
0	51
0	50
0	48
0	55
0	55
0	52
0	49
0	55
0	51
0	54
0	54
0	42
0	42
0	38
0	68
0	68
0	57
0	57
0	21
0	26
0	14
0	12
0	58
0	48
0	48
0	20
0	25
0	13
0	11
0	47
0	50
0	48
0	46
0	37
13	57
0	47
0	39
0	39
2	13
0	48
0	9
0	50
0	49
0	49
0	50
0	47
0	48
0	45
0	9
0	52
0	53
0	54
0	54
0	53
0	54
0	53
0	54
0	53
0	54
0	53
0	54
0	52
0	10
0	10
0	10
0	10
0	10
0	56
0	54
0	54
0	54
0	54
0	54
0	54
0	54
0	54
0	54
0	54
0	54
0	54
0	54
0	53
0	54
0	54
0	54
0	53
0	53
0	53
0	10
0	10
0	10
0	19
0	19
0	34
0	34
0	34
0	32
0	32
0	32
0	32
0	28
0	32
0	32
0	30
0	30
0	30
0	14
0	18
0	18
0	32
0	32
0	30
0	30
0	32
0	32
0	30
0	27
0	25
0	27
0	22
0	24
0	22
0	24
0	22
0	22
0	24
0	22
0	24
0	15
0	17
0	15
0	32
0	29
0	27
0	29
0	29
0	29
0	29
0	29
0	29
0	29
0	28
0	27
0	15
0	22
0	23
0	26
0	31
0	17
0	29
0	20
0	22
0	27
0	27
0	24
0	25
0	27
0	22
0	24
0	22
0	24
0	22
0	22
0	22
0	15
0	31
1	72
0	71
0	44
0	42
0	45
0	47
0	45
0	44
0	47
0	48
0	46
0	32
0	27
0	29
0	24
0	44
0	44
0	53
0	12
0	44
0	53
0	12
0	67
0	68
0	66
0	67
0	51
0	52
0	51
0	34
0	47
0	51
0	33
0	51
0	33
0	33
0	26
0	51
0	51
0	51
0	33
0	26
0	41
0	44
0	41
0	42
0	39
0	46
0	43
0	44
0	41
0	41
0	44
0	41
0	39
0	46
0	43
0	41
0	41
0	39
0	41
0	44
0	41
0	39
0	41
0	64
0	66
0	76
0	76
0	63
0	61
0	62
0	62
0	37
1	54
0	51
0	49
2	50
0	49
0	53
1	54
0	53
0	48
0	48
0	48
0	48
0	44
0	29
0	27
0	15
0	13
0	32
0	32
0	29
0	46
0	42
0	27
0	25
0	45
0	13
0	32
0	32
0	29
0	32
0	32
0	32
